subjectURI,subjectLabel,subjectNotation,subjectGrade,predicateCURIE,predicateLabel,objectURI,objectLabel,objectNotation,objectGrade,relationshipID
http://asn.jesandco.org/resources/S113BA38,"Use strategies to draw conclusions from information and apply knowledge to curricular areas, real-world situations, and further investigations.",2.1.3,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11434EA,"5. Summarize numerical data sets in relation to their context, such as by:",CCSS.Math.Content.6.SP.B.5,6,http://toolkit.asn.desire2learn.com/mapping/448
http://asn.jesandco.org/resources/S113BA37,Organize knowledge so that it is useful.,2.1.2,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11434E9,"4. Display numerical data in plots on a number line, including dot plots, histograms, and box plots.",CCSS.Math.Content.6.SP.B.4,6,http://toolkit.asn.desire2learn.com/mapping/449
http://asn.jesandco.org/resources/S113BA20,"Find, evaluate, and select appropriate sources to answer questions.",1.1.4,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11434E8,"3. Recognize that a measure of center for a numerical data set summarizes all of its values with a single number, while a measure of variation describes how its values vary with a single number.",CCSS.Math.Content.6.SP.A.3,6,http://toolkit.asn.desire2learn.com/mapping/450
http://asn.jesandco.org/resources/S113BA38,"Use strategies to draw conclusions from information and apply knowledge to curricular areas, real-world situations, and further investigations.",2.1.3,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11434E7,"2. Understand that a set of data collected to answer a statistical question has a distribution which can be described by its center, spread, and overall shape.",CCSS.Math.Content.6.SP.A.2,6,http://toolkit.asn.desire2learn.com/mapping/451
http://asn.jesandco.org/resources/S113BA20,"Find, evaluate, and select appropriate sources to answer questions.",1.1.4,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11434E6,1. Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers.,CCSS.Math.Content.6.SP.A.1,6,http://toolkit.asn.desire2learn.com/mapping/452
http://asn.jesandco.org/resources/S113BA38,"Use strategies to draw conclusions from information and apply knowledge to curricular areas, real-world situations, and further investigations.",2.1.3,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11435BC,"6. (+) Use probabilities to make fair decisions (e.g., drawing by lots, using a random number generator).",CCSS.Math.Content.HSS-MD.B.6,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/453
http://asn.jesandco.org/resources/S113BA38,"Use strategies to draw conclusions from information and apply knowledge to curricular areas, real-world situations, and further investigations.",2.1.3,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S1143649,b. Evaluate and compare strategies on the basis of expected values.,CCSS.Math.Content.HSS-MD.B.5b,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/454
http://asn.jesandco.org/resources/S113BA1D,"Follow an inquiry-based process in seeking knowledge in curricular subjects, and make the real-world connection for using this process in own life.",1.1.1,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S1143648,a. Find the expected payoff for a game of chance.,CCSS.Math.Content.HSS-MD.B.5a,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/455
http://asn.jesandco.org/resources/S113BA36,"Continue an inquiry-based research process by applying critical-thinking skills (analysis, synthesis, evaluation, organization) to information and knowledge in order to construct new understandings, draw conclusions, and create new knowledge.",2.1.1,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11435BD,"7. (+) Analyze decisions and strategies using probability concepts (e.g., product testing, medical testing, pulling a hockey goalie at the end of a game).",CCSS.Math.Content.HSS-MD.B.7,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/456
http://asn.jesandco.org/resources/S113BA36,"Continue an inquiry-based research process by applying critical-thinking skills (analysis, synthesis, evaluation, organization) to information and knowledge in order to construct new understandings, draw conclusions, and create new knowledge.",2.1.1,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11435BA,4. (+) Develop a probability distribution for a random variable defined for a sample space in which probabilities are assigned empirically; find the expected value.,CCSS.Math.Content.HSS-MD.A.4,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/457
http://asn.jesandco.org/resources/S113BA36,"Continue an inquiry-based research process by applying critical-thinking skills (analysis, synthesis, evaluation, organization) to information and knowledge in order to construct new understandings, draw conclusions, and create new knowledge.",2.1.1,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11435B9,3. (+) Develop a probability distribution for a random variable defined for a sample space in which theoretical probabilities can be calculated; find the expected value.,CCSS.Math.Content.HSS-MD.A.3,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/458
http://asn.jesandco.org/resources/S113BA36,"Continue an inquiry-based research process by applying critical-thinking skills (analysis, synthesis, evaluation, organization) to information and knowledge in order to construct new understandings, draw conclusions, and create new knowledge.",2.1.1,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11435B8,2. (+) Calculate the expected value of a random variable; interpret it as the mean of the probability distribution.,CCSS.Math.Content.HSS-MD.A.2,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/459
http://asn.jesandco.org/resources/S113BA36,"Continue an inquiry-based research process by applying critical-thinking skills (analysis, synthesis, evaluation, organization) to information and knowledge in order to construct new understandings, draw conclusions, and create new knowledge.",2.1.1,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11435B7,1. (+) Define a random variable for a quantity of interest by assigning a numerical value to each event in a sample space; graph the corresponding probability distribution using the same graphical displays as for data distributions.,CCSS.Math.Content.HSS-MD.A.1,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/460
http://asn.jesandco.org/resources/S113BA36,"Continue an inquiry-based research process by applying critical-thinking skills (analysis, synthesis, evaluation, organization) to information and knowledge in order to construct new understandings, draw conclusions, and create new knowledge.",2.1.1,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S1143568,Using Probability to Make Decisions,,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/461
http://asn.jesandco.org/resources/S113BA38,"Use strategies to draw conclusions from information and apply knowledge to curricular areas, real-world situations, and further investigations.",2.1.3,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11435B6,9. (+) Use permutations and combinations to compute probabilities of compound events and solve problems.,CCSS.Math.Content.HSS-CP.B.9,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/462
http://asn.jesandco.org/resources/S113BA38,"Use strategies to draw conclusions from information and apply knowledge to curricular areas, real-world situations, and further investigations.",2.1.3,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11435B5,"8. (+) Apply the general Multiplication Rule in a uniform probability model, P(A and B) = P(A)P(B|A) = P(B)P(A|B), and interpret the answer in terms of the model.",CCSS.Math.Content.HSS-CP.B.8,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/463
http://asn.jesandco.org/resources/S113BA38,"Use strategies to draw conclusions from information and apply knowledge to curricular areas, real-world situations, and further investigations.",2.1.3,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11435B4,"7. Apply the Addition Rule, P(A or B) = P(A) + P(B) - P(A and B), and interpret the answer in terms of the model.",CCSS.Math.Content.HSS-CP.B.7,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/464
