subjectURI,subjectLabel,subjectNotation,subjectGrade,predicateCURIE,predicateLabel,objectURI,objectLabel,objectNotation,objectGrade,relationshipID
http://asn.jesandco.org/resources/S1023A04,begin to make connections across texts by making meaningful predictions based on illustrations or portions of texts.,R.CM.00.03,K,asn:alignTo,Align To,http://asn.jesandco.org/resources/S11436B8,"1. Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",CCSS.ELA-Literacy.RL.2.1,2,http://toolkit.asn.desire2learn.com/mapping/3436
http://asn.jesandco.org/resources/S100B685,"compare and contrast relationships among characters, events, and key ideas within and across texts to create a deeper understanding by mapping story elements, graphically representing key ideas and details, and asking questions as they read.",R.CM.01.03,1,asn:alignTo,Align To,http://asn.jesandco.org/resources/S11436B8,"1. Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",CCSS.ELA-Literacy.RL.2.1,2,http://toolkit.asn.desire2learn.com/mapping/3437
http://asn.jesandco.org/resources/S1008E0F,"identify and describe characters' actions and motivations, setting (time and place), problem/ solution, and sequence of events.",R.NT.02.03,2,asn:alignTo,Align To,http://asn.jesandco.org/resources/S11436B8,"1. Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",CCSS.ELA-Literacy.RL.2.1,2,http://toolkit.asn.desire2learn.com/mapping/3438
http://asn.jesandco.org/resources/S1018D5A,"respond to individual and multiple texts by finding evidence, discussing, illustrating, and/or writing to reflect, make connections, take a position, and/or show understanding.",R.NT.02.05,2,asn:alignTo,Align To,http://asn.jesandco.org/resources/S11436B8,"1. Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",CCSS.ELA-Literacy.RL.2.1,2,http://toolkit.asn.desire2learn.com/mapping/3439
http://asn.jesandco.org/resources/S100685B,"self-monitor comprehension by using strategies including asking questions before, during, and after reading and discussing the most important ideas and themes in a text.",R.MT.01.02,1,asn:alignTo,Align To,http://asn.jesandco.org/resources/S11436B5,1. Ask and answer questions about key details in a text.,CCSS.ELA-Literacy.RL.1.1,1,http://toolkit.asn.desire2learn.com/mapping/3440
http://asn.jesandco.org/resources/S1007E9F,"respond to individual and multiple texts by finding evidence, discussing, illustrating, and/or writing to reflect, make connections, take a position, and/or show understanding.",R.NT.01.05,1,asn:alignTo,Align To,http://asn.jesandco.org/resources/S11436B5,1. Ask and answer questions about key details in a text.,CCSS.ELA-Literacy.RL.1.1,1,http://toolkit.asn.desire2learn.com/mapping/3441
http://asn.jesandco.org/resources/S101CF1C,briefly tell or retell about familiar experiences or interests focusing on basic story grammar or main ideas and key details.,S.DS.00.02,K,asn:alignTo,Align To,http://asn.jesandco.org/resources/S11436B5,1. Ask and answer questions about key details in a text.,CCSS.ELA-Literacy.RL.1.1,1,http://toolkit.asn.desire2learn.com/mapping/3442
http://asn.jesandco.org/resources/S101CF1C,briefly tell or retell about familiar experiences or interests focusing on basic story grammar or main ideas and key details.,S.DS.00.02,K,asn:alignTo,Align To,http://asn.jesandco.org/resources/S11436B2,"1. With prompting and support, ask and answer questions about key details in a text.",CCSS.ELA-Literacy.RL.K.1,K,http://toolkit.asn.desire2learn.com/mapping/3443
http://asn.jesandco.org/resources/S101C169,"construct and convey meaning using strategies including story grammar to identify the author's perspective (e.g., first, second, and third person) and sorting and ordering information.",R.MT.00.02,K,asn:alignTo,Align To,http://asn.jesandco.org/resources/S11436B2,"1. With prompting and support, ask and answer questions about key details in a text.",CCSS.ELA-Literacy.RL.K.1,K,http://toolkit.asn.desire2learn.com/mapping/3444
http://asn.jesandco.org/resources/S101C180,"respond to individual and multiple texts by finding evidence, discussing, illustrating, and/or writing to reflect, make meaning, and make connections.",R.NT.00.05,K,asn:alignTo,Align To,http://asn.jesandco.org/resources/S11436B2,"1. With prompting and support, ask and answer questions about key details in a text.",CCSS.ELA-Literacy.RL.K.1,K,http://toolkit.asn.desire2learn.com/mapping/3445
